ID,Specialty,Theme,Article,German,Vietnamese,Example_DE,Example_VI,Level
"expanded-pflege-0412","pflege","notfall","","Notfallwagen im Patientengespräch","xe đẩy cấp cứu trong cuộc trò chuyện với bệnh nhân","Die Wendung „Notfallwagen im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “xe đẩy cấp cứu trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0413","pflege","mobilitaet","","Rollator im Patientengespräch","khung tập đi có bánh xe trong cuộc trò chuyện với bệnh nhân","Die Wendung „Rollator im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “khung tập đi có bánh xe trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0414","pflege","mobilitaet","","Rollstuhl im Patientengespräch","xe lăn trong cuộc trò chuyện với bệnh nhân","Die Wendung „Rollstuhl im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “xe lăn trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0415","pflege","mobilitaet","","Gehstock im Patientengespräch","gậy chống trong cuộc trò chuyện với bệnh nhân","Die Wendung „Gehstock im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “gậy chống trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0416","pflege","mobilitaet","","Transfer im Patientengespräch","việc chuyển bệnh nhân trong cuộc trò chuyện với bệnh nhân","Die Wendung „Transfer im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “việc chuyển bệnh nhân trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0417","pflege","mobilitaet","","Patientenlifter im Patientengespräch","máy nâng bệnh nhân trong cuộc trò chuyện với bệnh nhân","Die Wendung „Patientenlifter im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “máy nâng bệnh nhân trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0418","pflege","mobilitaet","","Sturzprophylaxe im Patientengespräch","phòng ngừa té ngã trong cuộc trò chuyện với bệnh nhân","Die Wendung „Sturzprophylaxe im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “phòng ngừa té ngã trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0419","pflege","mobilitaet","","mobilisieren im Patientengespräch","hỗ trợ vận động trong cuộc trò chuyện với bệnh nhân","Die Wendung „mobilisieren im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “hỗ trợ vận động trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0420","pflege","mobilitaet","","Bewegungsübung im Patientengespräch","bài tập vận động trong cuộc trò chuyện với bệnh nhân","Die Wendung „Bewegungsübung im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “bài tập vận động trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0421","pflege","ernaehrung","","Flüssigkeitsbilanz im Patientengespräch","bảng cân bằng lượng dịch trong cuộc trò chuyện với bệnh nhân","Die Wendung „Flüssigkeitsbilanz im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “bảng cân bằng lượng dịch trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0422","pflege","ernaehrung","","Trinkprotokoll im Patientengespräch","phiếu theo dõi lượng uống trong cuộc trò chuyện với bệnh nhân","Die Wendung „Trinkprotokoll im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “phiếu theo dõi lượng uống trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0423","pflege","ernaehrung","","Kostform im Patientengespräch","chế độ, dạng thức ăn trong cuộc trò chuyện với bệnh nhân","Die Wendung „Kostform im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chế độ, dạng thức ăn trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0424","pflege","ernaehrung","","Schluckstörung im Patientengespräch","rối loạn nuốt trong cuộc trò chuyện với bệnh nhân","Die Wendung „Schluckstörung im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “rối loạn nuốt trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0425","pflege","ernaehrung","","Sondennahrung im Patientengespräch","dinh dưỡng qua ống thông trong cuộc trò chuyện với bệnh nhân","Die Wendung „Sondennahrung im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “dinh dưỡng qua ống thông trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0426","pflege","ernaehrung","","Ausscheidung im Patientengespräch","sự bài tiết trong cuộc trò chuyện với bệnh nhân","Die Wendung „Ausscheidung im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “sự bài tiết trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0427","pflege","ernaehrung","","Inkontinenz im Patientengespräch","chứng mất tự chủ đại tiểu tiện trong cuộc trò chuyện với bệnh nhân","Die Wendung „Inkontinenz im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chứng mất tự chủ đại tiểu tiện trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0428","pflege","ernaehrung","","Katheterpflege im Patientengespräch","chăm sóc ống thông trong cuộc trò chuyện với bệnh nhân","Die Wendung „Katheterpflege im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chăm sóc ống thông trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0429","pflege","wundversorgung","","Wundversorgung im Patientengespräch","chăm sóc vết thương trong cuộc trò chuyện với bệnh nhân","Die Wendung „Wundversorgung im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chăm sóc vết thương trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0430","pflege","wundversorgung","","Dekubitus im Patientengespräch","loét do tì đè trong cuộc trò chuyện với bệnh nhân","Die Wendung „Dekubitus im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “loét do tì đè trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0431","pflege","wundversorgung","","Wundauflage im Patientengespräch","miếng phủ vết thương trong cuộc trò chuyện với bệnh nhân","Die Wendung „Wundauflage im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “miếng phủ vết thương trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0432","pflege","wundversorgung","","Kompresse im Patientengespräch","miếng gạc trong cuộc trò chuyện với bệnh nhân","Die Wendung „Kompresse im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “miếng gạc trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0433","pflege","wundversorgung","","sterile Pinzette im Patientengespräch","nhíp vô trùng trong cuộc trò chuyện với bệnh nhân","Die Wendung „sterile Pinzette im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “nhíp vô trùng trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0434","pflege","wundversorgung","","Wundsekret im Patientengespräch","dịch tiết vết thương trong cuộc trò chuyện với bệnh nhân","Die Wendung „Wundsekret im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “dịch tiết vết thương trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0435","pflege","wundversorgung","","Heilungsverlauf im Patientengespräch","diễn tiến lành vết thương trong cuộc trò chuyện với bệnh nhân","Die Wendung „Heilungsverlauf im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “diễn tiến lành vết thương trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0436","pflege","wundversorgung","","Druckgeschwür im Patientengespräch","vết loét do áp lực trong cuộc trò chuyện với bệnh nhân","Die Wendung „Druckgeschwür im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “vết loét do áp lực trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0437","pflege","wundversorgung","","Verbandmaterial im Patientengespräch","vật liệu băng bó trong cuộc trò chuyện với bệnh nhân","Die Wendung „Verbandmaterial im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “vật liệu băng bó trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0438","pflege","wundversorgung","","Wunddokumentation im Patientengespräch","hồ sơ vết thương trong cuộc trò chuyện với bệnh nhân","Die Wendung „Wunddokumentation im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “hồ sơ vết thương trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0439","pflege","demenz","","Demenz im Patientengespräch","chứng sa sút trí tuệ trong cuộc trò chuyện với bệnh nhân","Die Wendung „Demenz im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chứng sa sút trí tuệ trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0440","pflege","demenz","","Biografiearbeit im Patientengespräch","chăm sóc dựa trên tiểu sử trong cuộc trò chuyện với bệnh nhân","Die Wendung „Biografiearbeit im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “chăm sóc dựa trên tiểu sử trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0441","pflege","demenz","","Orientierungshilfe im Patientengespräch","phương tiện hỗ trợ định hướng trong cuộc trò chuyện với bệnh nhân","Die Wendung „Orientierungshilfe im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “phương tiện hỗ trợ định hướng trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0442","pflege","demenz","","Validation im Patientengespräch","phương pháp xác nhận cảm xúc trong cuộc trò chuyện với bệnh nhân","Die Wendung „Validation im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “phương pháp xác nhận cảm xúc trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0443","pflege","demenz","","Weglauftendenz im Patientengespräch","xu hướng đi lang thang, bỏ đi trong cuộc trò chuyện với bệnh nhân","Die Wendung „Weglauftendenz im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “xu hướng đi lang thang, bỏ đi trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0444","pflege","demenz","","herausfordernde Verhalten im Patientengespräch","hành vi khó xử lý trong cuộc trò chuyện với bệnh nhân","Die Wendung „herausfordernde Verhalten im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “hành vi khó xử lý trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0445","pflege","demenz","","Tagesstruktur im Patientengespräch","cấu trúc sinh hoạt trong ngày trong cuộc trò chuyện với bệnh nhân","Die Wendung „Tagesstruktur im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “cấu trúc sinh hoạt trong ngày trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0446","pflege","demenz","","Gedächtnistraining im Patientengespräch","luyện trí nhớ trong cuộc trò chuyện với bệnh nhân","Die Wendung „Gedächtnistraining im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “luyện trí nhớ trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0447","pflege","demenz","","Beschäftigungsangebot im Patientengespräch","hoạt động dành cho người được chăm sóc trong cuộc trò chuyện với bệnh nhân","Die Wendung „Beschäftigungsangebot im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “hoạt động dành cho người được chăm sóc trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0448","pflege","demenz","","Bezugspflege im Patientengespräch","mô hình điều dưỡng phụ trách cố định trong cuộc trò chuyện với bệnh nhân","Die Wendung „Bezugspflege im Patientengespräch“ gehört zum Fachwortschatz Pflege.","Cụm “mô hình điều dưỡng phụ trách cố định trong cuộc trò chuyện với bệnh nhân” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0449","pflege","grundpflege","","Pflegebedürftige bei der Visite","người cần được chăm sóc khi đi buồng","Die Wendung „Pflegebedürftige bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “người cần được chăm sóc khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0450","pflege","grundpflege","","Körperpflege bei der Visite","vệ sinh thân thể khi đi buồng","Die Wendung „Körperpflege bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “vệ sinh thân thể khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0451","pflege","grundpflege","","Mobilisation bei der Visite","vận động, hỗ trợ di chuyển khi đi buồng","Die Wendung „Mobilisation bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “vận động, hỗ trợ di chuyển khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0452","pflege","grundpflege","","Lagerung bei der Visite","đặt tư thế cho bệnh nhân khi đi buồng","Die Wendung „Lagerung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “đặt tư thế cho bệnh nhân khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0453","pflege","grundpflege","","Pflegeplan bei der Visite","kế hoạch chăm sóc khi đi buồng","Die Wendung „Pflegeplan bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “kế hoạch chăm sóc khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0454","pflege","anatomie","","Herz bei der Visite","tim khi đi buồng","Die Wendung „Herz bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “tim khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0455","pflege","anatomie","","Lunge bei der Visite","phổi khi đi buồng","Die Wendung „Lunge bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “phổi khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0456","pflege","anatomie","","Blutkreislauf bei der Visite","hệ tuần hoàn máu khi đi buồng","Die Wendung „Blutkreislauf bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “hệ tuần hoàn máu khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0457","pflege","anatomie","","Wirbelsäule bei der Visite","cột sống khi đi buồng","Die Wendung „Wirbelsäule bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “cột sống khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0458","pflege","symptome","","Schwindel bei der Visite","chóng mặt khi đi buồng","Die Wendung „Schwindel bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “chóng mặt khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0459","pflege","symptome","","Atemnot bei der Visite","khó thở khi đi buồng","Die Wendung „Atemnot bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “khó thở khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0460","pflege","symptome","","Übelkeit bei der Visite","buồn nôn khi đi buồng","Die Wendung „Übelkeit bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “buồn nôn khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0461","pflege","symptome","","Schwellung bei der Visite","chỗ sưng khi đi buồng","Die Wendung „Schwellung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “chỗ sưng khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0462","pflege","hygiene","","Händedesinfektion bei der Visite","khử khuẩn tay khi đi buồng","Die Wendung „Händedesinfektion bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “khử khuẩn tay khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0463","pflege","hygiene","","Einmalhandschuhe bei der Visite","găng tay dùng một lần khi đi buồng","Die Wendung „Einmalhandschuhe bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “găng tay dùng một lần khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0464","pflege","hygiene","","Verbandwechsel bei der Visite","thay băng khi đi buồng","Die Wendung „Verbandwechsel bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “thay băng khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0465","pflege","hygiene","","Infektion bei der Visite","nhiễm trùng khi đi buồng","Die Wendung „Infektion bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “nhiễm trùng khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0466","pflege","kommunikation","","Übergabe bei der Visite","bàn giao ca khi đi buồng","Die Wendung „Übergabe bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “bàn giao ca khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0467","pflege","kommunikation","","Einwilligung bei der Visite","sự đồng ý khi đi buồng","Die Wendung „Einwilligung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “sự đồng ý khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0468","pflege","kommunikation","","beruhigen bei der Visite","trấn an khi đi buồng","Die Wendung „beruhigen bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “trấn an khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0469","pflege","grundpflege","","Waschung bei der Visite","việc lau rửa, tắm rửa khi đi buồng","Die Wendung „Waschung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “việc lau rửa, tắm rửa khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0470","pflege","grundpflege","","Zahnpflege bei der Visite","việc chăm sóc răng miệng khi đi buồng","Die Wendung „Zahnpflege bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “việc chăm sóc răng miệng khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0471","pflege","grundpflege","","Inkontinenzmaterial bei der Visite","vật liệu (tã, bỉm) cho người tiểu tiện không tự chủ khi đi buồng","Die Wendung „Inkontinenzmaterial bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “vật liệu (tã, bỉm) cho người tiểu tiện không tự chủ khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0472","pflege","grundpflege","","Hautpflege bei der Visite","việc chăm sóc da khi đi buồng","Die Wendung „Hautpflege bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “việc chăm sóc da khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0473","pflege","grundpflege","","ankleiden bei der Visite","mặc quần áo (cho ai đó) khi đi buồng","Die Wendung „ankleiden bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “mặc quần áo (cho ai đó) khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0474","pflege","grundpflege","","Nahrungsaufnahme bei der Visite","việc ăn uống, hấp thụ thức ăn khi đi buồng","Die Wendung „Nahrungsaufnahme bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “việc ăn uống, hấp thụ thức ăn khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0475","pflege","grundpflege","","Bettlaken bei der Visite","tấm ga trải giường khi đi buồng","Die Wendung „Bettlaken bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “tấm ga trải giường khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0476","pflege","grundpflege","","Intimpflege bei der Visite","việc vệ sinh vùng kín khi đi buồng","Die Wendung „Intimpflege bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “việc vệ sinh vùng kín khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0477","pflege","anatomie","","Niere bei der Visite","quả thận khi đi buồng","Die Wendung „Niere bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “quả thận khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0478","pflege","anatomie","","Leber bei der Visite","gan khi đi buồng","Die Wendung „Leber bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “gan khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0479","pflege","anatomie","","Magen bei der Visite","dạ dày khi đi buồng","Die Wendung „Magen bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “dạ dày khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0480","pflege","anatomie","","Haut bei der Visite","da khi đi buồng","Die Wendung „Haut bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “da khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0481","pflege","anatomie","","Gelenk bei der Visite","khớp khi đi buồng","Die Wendung „Gelenk bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “khớp khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0482","pflege","anatomie","","Muskel bei der Visite","cơ bắp khi đi buồng","Die Wendung „Muskel bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “cơ bắp khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0483","pflege","anatomie","","Blase bei der Visite","bàng quang khi đi buồng","Die Wendung „Blase bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “bàng quang khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0484","pflege","anatomie","","Knochen bei der Visite","xương khi đi buồng","Die Wendung „Knochen bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “xương khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0485","pflege","symptome","","Fieber bei der Visite","sốt khi đi buồng","Die Wendung „Fieber bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “sốt khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0486","pflege","symptome","","Schmerzen bei der Visite","cơn đau (số nhiều) khi đi buồng","Die Wendung „Schmerzen bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “cơn đau (số nhiều) khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0487","pflege","symptome","","Husten bei der Visite","ho khi đi buồng","Die Wendung „Husten bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “ho khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0488","pflege","symptome","","Durchfall bei der Visite","tiêu chảy khi đi buồng","Die Wendung „Durchfall bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “tiêu chảy khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0489","pflege","symptome","","Appetitlosigkeit bei der Visite","chán ăn khi đi buồng","Die Wendung „Appetitlosigkeit bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “chán ăn khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0490","pflege","symptome","","Verwirrtheit bei der Visite","sự lú lẫn, mất phương hướng khi đi buồng","Die Wendung „Verwirrtheit bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “sự lú lẫn, mất phương hướng khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0491","pflege","symptome","","Müdigkeit bei der Visite","mệt mỏi, buồn ngủ khi đi buồng","Die Wendung „Müdigkeit bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “mệt mỏi, buồn ngủ khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0492","pflege","symptome","","Hautrötung bei der Visite","vết mẩn đỏ trên da khi đi buồng","Die Wendung „Hautrötung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “vết mẩn đỏ trên da khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0493","pflege","hygiene","","Schutzkittel bei der Visite","áo choàng bảo hộ khi đi buồng","Die Wendung „Schutzkittel bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “áo choàng bảo hộ khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0494","pflege","hygiene","","Mundschutz bei der Visite","khẩu trang khi đi buồng","Die Wendung „Mundschutz bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “khẩu trang khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
"expanded-pflege-0495","pflege","hygiene","","Desinfektionsmittel bei der Visite","chất khử trùng, dung dịch sát khuẩn khi đi buồng","Die Wendung „Desinfektionsmittel bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “chất khử trùng, dung dịch sát khuẩn khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0496","pflege","hygiene","","Schutzkleidung bei der Visite","đồ bảo hộ khi đi buồng","Die Wendung „Schutzkleidung bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “đồ bảo hộ khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B2"
"expanded-pflege-0497","pflege","hygiene","","Keim bei der Visite","mầm bệnh, vi khuẩn khi đi buồng","Die Wendung „Keim bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “mầm bệnh, vi khuẩn khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","B1"
"expanded-pflege-0498","pflege","hygiene","","Abfalleimer bei der Visite","thùng rác khi đi buồng","Die Wendung „Abfalleimer bei der Visite“ gehört zum Fachwortschatz Pflege.","Cụm “thùng rác khi đi buồng” thuộc từ vựng chuyên ngành Điều dưỡng.","A2"
